sampno,vehno,vehicle_num,num_hh_vehicles,veh_year,veh_make,veh_make_other,veh_make_clean,veh_model,veh_model_other,veh_model_clean,fuel,fuel_clean,veh_type,veh_type_clean,vehicle_status,flag_hev,flag_phev,flag_fcev,flag_bev,obtain,company_car,current_acquired_year,current_acquired_month,annual_mileage,electric_percent,tnc_veh,tnc_miles,delivery,delivery_miles,mpg,replace_intent,current_primary_driver,primary_driver_id,company_acquired_year,fuel_pay,personal_miles,business_miles,company_primary_driver,company_primary_driver_id,other_drivers,behavior_1,behavior_2,behavior_3,behavior_4,behavior_5
193063,193063.v01,1,2,2018,TOYOTA, ,TOYOTA,,,,1,1,8,8, ,0,0,0,0,2, ,2017, ,10000, ,2, ,2, ,20,2,3,193063.p03, , , , , , , , , , , , 
193067,193067.v01,1,1,2016,TOYOTA, ,TOYOTA,,,,1,1,3,3, ,0,0,0,0,1, ,2016, ,15000, ,2, ,2, ,30,3,1,193067.p01, , , , , , , , , , , , 
193076,193076.v01,1,2,2004,TOYOTA, ,TOYOTA,,,,2,2,3,3, ,1,0,0,0,3, ,2016, ,4000, ,2, ,2, ,43,4,1,193076.p01, , , , , , , , , , , , 
193069,193069.v02,2,3,2019,ACURA, ,ACURA,,,,2,2,5,5, ,1,0,0,0,3, ,2018,2,1000, ,2, ,2, ,100,1,1,193069.p01, , , , , , , , , , , , 
193121,193121.v02,2,2,1998,DODGE, ,DODGE,,,,1,1,13,13, ,0,0,0,0,2, ,1998, ,10000, ,2, ,2, ,10,3,2,193121.p02, , , , , , , , , , , , 
193074,193074.v01,1,1,2017,AUDI, ,AUDI,,,,1,1,8,8, ,0,0,0,0,1, ,2017, ,18000, ,2, ,2, ,25,3,1,193074.p01, , , , , , , , , , , , 
193086,193086.v01,1,2,2016,MAZDA, ,MAZDA,,,,1,1,3,3, ,0,0,0,0,3, ,2018,5,1000, ,2, ,2, ,27,5,2,193086.p02, , , , , , , , , , , , 
193081,193081.v02,2,2,2016,INFINITI, ,INFINITI,,,,1,1,8,8, ,0,0,0,0,4, ,2018,5,10000, ,2, ,2, ,30,6,2,193081.p02, , , , , , , , , , , , 
193087,193087.v01,1,2,2016,JEEP, ,JEEP,,,,1,1,7,7, ,0,0,0,0,1, ,2016, ,32000, ,2, ,2, ,26,3,2,193087.p02, , , , , , , , , , , , 
193092,193092.v02,2,4,2001,FORD, ,FORD,,,,1,1,6,6, ,0,0,0,0,3, ,2008, ,10000, ,2, ,2, ,20,6,2,193092.p02, , , , , , , , , , , , 
